Season,Total_Weeks,Feasible_Weeks,Infeasible_Weeks,Feasibility_Rate
1,6,6,0,1.0
2,8,8,0,1.0
3,10,10,0,1.0
4,10,10,0,1.0
5,10,10,0,1.0
6,10,10,0,1.0
7,10,10,0,1.0
8,11,11,0,1.0
9,10,10,0,1.0
10,10,10,0,1.0
11,10,10,0,1.0
12,10,10,0,1.0
13,10,10,0,1.0
14,10,10,0,1.0
15,10,10,0,1.0
16,10,10,0,1.0
17,11,11,0,1.0
18,10,10,0,1.0
19,11,11,0,1.0
20,10,10,0,1.0
21,11,11,0,1.0
22,10,10,0,1.0
23,11,11,0,1.0
24,10,10,0,1.0
25,10,10,0,1.0
26,4,4,0,1.0
27,9,9,0,1.0
28,11,11,0,1.0
29,11,11,0,1.0
30,10,10,0,1.0
31,10,10,0,1.0
32,11,11,0,1.0
33,9,9,0,1.0
34,11,11,0,1.0
