celebrity_name,season,final_placement,overall_avg_score,rank_discrepancy,score_trend_slope,avg_judge_disagreement,last_2_weeks_momentum
Jerry Rice,2,2,0.7506941666666668,4.0,0.015145317460317482,0.34882059888764216,
Billy Ray Cyrus,4,5,0.6333333333333333,4.0,0.011111111111111106,0.21650635094610965,
Cloris Leachman,7,7,0.5833333333333334,5.0,0.018095238095238077,0.2886751345948129,
Steve-O,8,8,0.5277777777777778,4.0,0.006666666666666675,0.44703762833853306,
Chuck Liddell,9,11,0.625,4.0,-0.056666666666666636,0.5773502691896258,
Michael Irvin,9,7,0.6452371428571428,4.0,0.029166190476190505,0.5361109642475098,
Bristol Palin,11,3,0.7368046666666667,3.0,0.03194428282828288,0.32329956358220396,
Bill Engvall,17,4,0.7575751515151515,5.0,0.012575606060606046,0.10497277621629554,0.09999666666666651
Michael Waltrip,19,7,0.640625,5.0,0.00625000000000003,0.2596687836487032,
David Ross,24,2,0.78208325,4.0,0.021742378787878804,0.3205325134594813,
Bobby Bones,27,1,0.7462962962962963,7.0,0.02555555555555553,0.3442306901503685,
Joe Amabile,27,6,0.625,5.0,0.04246031746031744,0.3247595264191645,
Nelly,29,3,0.7651515151515151,4.0,0.03924242424242422,0.07872958216222171,0.016666666666666607
Iman Shumpert,30,1,0.7933333333333333,5.0,0.04944444444444448,0.5077350867507359,
Cody Rigsby,30,3,0.79125,4.0,0.0456818181818182,0.19047005383792515,
Vinny Guadagnino,31,7,0.6734374999999999,5.0,0.03675595238095239,0.34375,
Andy Richter,34,7,0.6398148148148147,5.0,0.03958333333333332,0.3323959812847468,
